"id";"textsuggest";"subtext";"extrasearch";"extradisplay";"type";"action";"value";"popularity";"thumbnail_url";"phonetic"
"CO_AD";"Andorra";"Capital: Andorra la Vella";"AD";;"Countries";;;84000;"http://flags.blogpotato.de/flags/large/all/ad.png";
"CO_AE";"United Arab Emirates";"Capital: Abu Dhabi";"AE";;"Countries";;;4975593;"http://flags.blogpotato.de/flags/large/all/ae.png";
"CO_AF";"Afghanistan";"Capital: Kabul";"AF";;"Countries";;;29121286;"http://flags.blogpotato.de/flags/large/all/af.png";
"CO_AG";"Antigua and Barbuda";"Capital: St. John's";"AG";;"Countries";;;86754;"http://flags.blogpotato.de/flags/large/all/ag.png";
"CO_AI";"Anguilla";"Capital: The Valley";"AI";;"Countries";;;13254;"http://flags.blogpotato.de/flags/large/all/ai.png";
"CO_AL";"Albania";"Capital: Tirana";"AL";;"Countries";;;2986952;"http://flags.blogpotato.de/flags/large/all/al.png";
"CO_AM";"Armenia";"Capital: Yerevan";"AM";;"Countries";;;2968000;"http://flags.blogpotato.de/flags/large/all/am.png";
"CO_AO";"Angola";"Capital: Luanda";"AO";;"Countries";;;13068161;"http://flags.blogpotato.de/flags/large/all/ao.png";
"CO_AQ";"Antarctica";;"AQ";;"Countries";;;0;"http://flags.blogpotato.de/flags/large/all/aq.png";
"CO_AR";"Argentina";"Capital: Buenos Aires";"AR";;"Countries";;;41343201;"http://flags.blogpotato.de/flags/large/all/ar.png";
"CO_AS";"American Samoa";"Capital: Pago Pago";"AS";;"Countries";;;57881;"http://flags.blogpotato.de/flags/large/all/as.png";
"CO_AT";"Austria";"Capital: Vienna";"AT";;"Countries";;;8205000;"http://flags.blogpotato.de/flags/large/all/at.png";
"CO_AU";"Australia";"Capital: Canberra";"AU";;"Countries";;;21515754;"http://flags.blogpotato.de/flags/large/all/au.png";
"CO_AW";"Aruba";"Capital: Oranjestad";"AW";;"Countries";;;71566;"http://flags.blogpotato.de/flags/large/all/aw.png";
"CO_AX";"Aland Islands";"Capital: Mariehamn";"AX";;"Countries";;;26711;"http://flags.blogpotato.de/flags/large/all/ax.png";
"CO_AZ";"Azerbaijan";"Capital: Baku";"AZ";;"Countries";;;8303512;"http://flags.blogpotato.de/flags/large/all/az.png";
"CO_BA";"Bosnia and Herzegovina";"Capital: Sarajevo";"BA";;"Countries";;;4590000;"http://flags.blogpotato.de/flags/large/all/ba.png";
"CO_BB";"Barbados";"Capital: Bridgetown";"BB";;"Countries";;;285653;"http://flags.blogpotato.de/flags/large/all/bb.png";
"CO_BD";"Bangladesh";"Capital: Dhaka";"BD";;"Countries";;;156118464;"http://flags.blogpotato.de/flags/large/all/bd.png";
"CO_BE";"Belgium";"Capital: Brussels";"BE";;"Countries";;;10403000;"http://flags.blogpotato.de/flags/large/all/be.png";
"CO_BF";"Burkina Faso";"Capital: Ouagadougou";"BF";;"Countries";;;16241811;"http://flags.blogpotato.de/flags/large/all/bf.png";
"CO_BG";"Bulgaria";"Capital: Sofia";"BG";;"Countries";;;7148785;"http://flags.blogpotato.de/flags/large/all/bg.png";
"CO_BH";"Bahrain";"Capital: Manama";"BH";;"Countries";;;738004;"http://flags.blogpotato.de/flags/large/all/bh.png";
"CO_BI";"Burundi";"Capital: Bujumbura";"BI";;"Countries";;;9863117;"http://flags.blogpotato.de/flags/large/all/bi.png";
"CO_BJ";"Benin";"Capital: Porto-Novo";"BJ";;"Countries";;;9056010;"http://flags.blogpotato.de/flags/large/all/bj.png";
"CO_BL";"Saint Barthélemy";"Capital: Gustavia";"BL";;"Countries";;;8450;"http://flags.blogpotato.de/flags/large/all/bl.png";
"CO_BM";"Bermuda";"Capital: Hamilton";"BM";;"Countries";;;65365;"http://flags.blogpotato.de/flags/large/all/bm.png";
"CO_BN";"Brunei";"Capital: Bandar Seri Begawan";"BN";;"Countries";;;395027;"http://flags.blogpotato.de/flags/large/all/bn.png";
"CO_BO";"Bolivia";"Capital: La Paz";"BO";;"Countries";;;9947418;"http://flags.blogpotato.de/flags/large/all/bo.png";
"CO_BQ";"Bonaire, Saint Eustatius and Saba ";;"BQ";;"Countries";;;18012;"http://flags.blogpotato.de/flags/large/all/bq.png";
"CO_BR";"Brazil";"Capital: Brasília";"BR";;"Countries";;;201103330;"http://flags.blogpotato.de/flags/large/all/br.png";
"CO_BS";"Bahamas";"Capital: Nassau";"BS";;"Countries";;;301790;"http://flags.blogpotato.de/flags/large/all/bs.png";
"CO_BT";"Bhutan";"Capital: Thimphu";"BT";;"Countries";;;699847;"http://flags.blogpotato.de/flags/large/all/bt.png";
"CO_BV";"Bouvet Island";;"BV";;"Countries";;;0;"http://flags.blogpotato.de/flags/large/all/bv.png";
"CO_BW";"Botswana";"Capital: Gaborone";"BW";;"Countries";;;2029307;"http://flags.blogpotato.de/flags/large/all/bw.png";
"CO_BY";"Belarus";"Capital: Minsk";"BY";;"Countries";;;9685000;"http://flags.blogpotato.de/flags/large/all/by.png";
"CO_BZ";"Belize";"Capital: Belmopan";"BZ";;"Countries";;;314522;"http://flags.blogpotato.de/flags/large/all/bz.png";
